ID,CLASSIFIER,ATTRIBUTESELECTION,SEED,DATASET,FLOW,RANK,WEIGHTEDAREAUNDERROC,WEIGHTEDFMEASURE,WEIGHTEDPRECISION,WEIGHTEDRECALL,ERRORRATE,TIMEELAPSED
45,randomforest,cfs-subset-eval,200.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,0.9918856408622022,0.9821826248575055,0.9823938591292378,0.9821826280623608,0.017817371937639197,816.0
46,randomforest,cfs-subset-eval,250.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,0.9934546087349374,0.9810365349958166,0.9813252173842,0.9810690423162584,0.01893095768374165,817.0
47,randomforest,cfs-subset-eval,300.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,0.9913682539480809,0.9756323388103241,0.9761772768650747,0.9755011135857461,0.024498886414253896,816.0
48,randomforest,cfs-subset-eval,350.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,0.9917442790273878,0.9810867233915676,0.9813698252703603,0.9810690423162584,0.01893095768374165,825.0
49,randomforest,cfs-subset-eval,400.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,0.9919356083230912,0.9821164458157556,0.9823262667230924,0.9821826280623608,0.017817371937639197,824.0
50,randomforest,cfs-subset-eval,450.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,0.9900623130970724,0.9822006824485114,0.9823606350451592,0.9821826280623608,0.017817371937639197,825.0
51,randomforest,cfs-subset-eval,500.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,0.9915158039573596,0.9811469219893167,0.9815437704373471,0.9810690423162584,0.01893095768374165,825.0
52,randomforest,cfs-subset-eval,550.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,0.9898581060731514,0.9789177219167724,0.9793322191517148,0.9788418708240535,0.021158129175946547,815.0
53,randomforest,cfs-subset-eval,600.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,0.9915948095301986,0.9843446805717856,0.9844472310082162,0.9844097995545658,0.015590200445434299,825.0
54,randomforest,cfs-subset-eval,650.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,0.9914937373283277,0.9811048421424421,0.9814483202305381,0.9810690423162584,0.01893095768374165,816.0
55,randomforest,cfs-subset-eval,700.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,0.994242212151585,0.9831973405095422,0.9836009554350643,0.9832962138084632,0.01670378619153675,816.0
56,randomforest,cfs-subset-eval,750.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,0.9918905145638721,0.983301708553903,0.9836167639156169,0.9832962138084632,0.01670378619153675,814.0
57,randomforest,cfs-subset-eval,800.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,0.9901005062560729,0.9821171565686453,0.982610226524452,0.9821826280623608,0.017817371937639197,815.0
58,randomforest,cfs-subset-eval,850.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,0.9920129102226753,0.9832370928878248,0.9835004815331604,0.9832962138084632,0.01670378619153675,815.0
59,randomforest,cfs-subset-eval,900.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,0.9899595747956822,0.9832006693453089,0.9833466506430901,0.9832962138084632,0.01670378619153675,815.0
60,randomforest,cfs-subset-eval,950.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,0.9917968053653727,0.9811705407972976,0.9814630048777395,0.9810690423162584,0.01893095768374165,824.0
61,randomforest,wrapper-subset-eval-with-adaboost-operator,0.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,4,0.9523749901511839,0.8975045972776133,0.9274373639108279,0.8875278396436526,0.11247216035634744,3839.0
62,randomforest,wrapper-subset-eval-with-adaboost-operator,50.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,4,0.9518446193824328,0.8963543165984927,0.9261668749724077,0.8864142538975501,0.11358574610244988,3836.0
63,randomforest,wrapper-subset-eval-with-adaboost-operator,100.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,4,0.9527047864146432,0.8975045972776133,0.9274373639108279,0.8875278396436526,0.11247216035634744,3838.0
64,randomforest,wrapper-subset-eval-with-adaboost-operator,150.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,4,0.9523432165314133,0.8975045972776133,0.9274373639108279,0.8875278396436526,0.11247216035634744,3838.0
65,randomforest,wrapper-subset-eval-with-adaboost-operator,200.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,4,0.9853636441488011,0.9464768737710918,0.9522620817430506,0.9443207126948775,0.0556792873051225,6851.0
66,randomforest,wrapper-subset-eval-with-adaboost-operator,250.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,4,0.9504997806090084,0.8963543165984927,0.9261668749724077,0.8864142538975501,0.11358574610244988,3839.0
67,randomforest,wrapper-subset-eval-with-adaboost-operator,300.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,4,0.9495018280223888,0.8963478537618924,0.9266450811950614,0.8864142538975501,0.11358574610244988,3829.0
68,randomforest,wrapper-subset-eval-with-adaboost-operator,350.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,4,0.949060856600473,0.8986405344009235,0.92870878981367,0.888641425389755,0.111358574610245,3838.0
69,randomforest,wrapper-subset-eval-with-adaboost-operator,400.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,4,0.9506597037075754,0.8986405344009235,0.92870878981367,0.888641425389755,0.111358574610245,3839.0
70,randomforest,wrapper-subset-eval-with-adaboost-operator,450.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,4,0.9500148624433052,0.8963543165984927,0.9261668749724077,0.8864142538975501,0.11358574610244988,3836.0
71,randomforest,wrapper-subset-eval-with-adaboost-operator,500.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,4,0.9497052499418699,0.8986405344009235,0.92870878981367,0.888641425389755,0.111358574610245,3836.0
72,randomforest,wrapper-subset-eval-with-adaboost-operator,550.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,4,0.9520894733913439,0.8975045972776133,0.9274373639108279,0.8875278396436526,0.11247216035634744,3841.0
73,randomforest,wrapper-subset-eval-with-adaboost-operator,600.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,4,0.9498645108709887,0.8975045972776133,0.9274373639108279,0.8875278396436526,0.11247216035634744,3842.0
