"","ID","CLASSIFIER","ATTRIBUTESELECTION","SEED","DATASET","FLOW","RANK","CLUSTER","WEIGHTEDAREAUNDERROC","WEIGHTEDFMEASURE","WEIGHTEDPRECISION","WEIGHTEDRECALL","ERRORRATE","TIMEELAPSED"
"55",55,"logitboost","symmetrical-uncert-attribute-eval",700,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator",3,19,0.992359264684101,0.987687087921931,0.988217122568462,0.987750556792873,0.0122494432071269,818
"56",56,"logitboost","symmetrical-uncert-attribute-eval",750,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator",3,19,0.992711580639407,0.986588506648211,0.98712714124743,0.986636971046771,0.0133630289532294,816
"57",57,"logitboost","symmetrical-uncert-attribute-eval",800,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator",3,19,0.993185840887719,0.988771158908239,0.989202672893302,0.988864142538975,0.0111358574610245,817
"58",58,"logitboost","symmetrical-uncert-attribute-eval",850,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator",3,19,0.994431661961371,0.985442554760275,0.985954847091199,0.985523385300668,0.0144766146993318,820
"59",59,"logitboost","symmetrical-uncert-attribute-eval",900,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator",3,19,0.989937545077258,0.988712856659812,0.989066699912098,0.988864142538975,0.0111358574610245,819
"60",60,"logitboost","symmetrical-uncert-attribute-eval",950,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator",3,19,0.992426776398865,0.988771158908239,0.989202672893302,0.988864142538975,0.0111358574610245,819
"61",61,"logistic","no-attribute-selection",1,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|logistic-operator|classifier-performance-evaluator-operator|result-viewer-operator",4,19,0.995991742491922,0.990939201750012,0.991114192982641,0.99109131403118,0.0089086859688196,3876
"62",62,"logistic","no-attribute-selection",50,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|logistic-operator|classifier-performance-evaluator-operator|result-viewer-operator",4,19,0.996062890508059,0.996496766168073,0.996673831221249,0.996659242761693,0.00334075723830735,3810
"63",63,"logistic","no-attribute-selection",100,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|logistic-operator|classifier-performance-evaluator-operator|result-viewer-operator",4,19,0.994873003851472,0.989607052588754,0.990029959053974,0.989977728285078,0.010022271714922,3805
"64",64,"logistic","no-attribute-selection",150,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|logistic-operator|classifier-performance-evaluator-operator|result-viewer-operator",4,19,0.996081746400451,0.994052648579832,0.99445294694397,0.994432071269488,0.00556792873051225,3808
"65",65,"logistic","no-attribute-selection",200,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|logistic-operator|classifier-performance-evaluator-operator|result-viewer-operator",4,19,0.99582250557069,0.991832597220847,0.992253879200935,0.992204899777283,0.00779510022271715,3809
"66",66,"logistic","no-attribute-selection",250,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|logistic-operator|classifier-performance-evaluator-operator|result-viewer-operator",4,19,0.996014484190388,0.995366567875317,0.995579662345371,0.99554565701559,0.0044543429844098,3806
"67",67,"logistic","no-attribute-selection",300,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|logistic-operator|classifier-performance-evaluator-operator|result-viewer-operator",4,19,0.994589716341099,0.99182795634429,0.992229213876543,0.992204899777283,0.00779510022271715,3804
"68",68,"logistic","no-attribute-selection",350,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|logistic-operator|classifier-performance-evaluator-operator|result-viewer-operator",4,19,0.99454021867902,0.990975324057099,0.991268036257144,0.99109131403118,0.0089086859688196,3807
"69",69,"logistic","no-attribute-selection",400,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|logistic-operator|classifier-performance-evaluator-operator|result-viewer-operator",4,19,0.995952451301937,0.989800415347661,0.989698772035804,0.989977728285078,0.010022271714922,3812
"70",70,"logistic","no-attribute-selection",450,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|logistic-operator|classifier-performance-evaluator-operator|result-viewer-operator",4,19,0.987241102357464,0.989746409201332,0.989904253879659,0.989977728285078,0.010022271714922,3810
"71",71,"logistic","no-attribute-selection",500,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|logistic-operator|classifier-performance-evaluator-operator|result-viewer-operator",4,19,0.995918696507366,0.994259219295216,0.994429633866812,0.994432071269488,0.00556792873051225,3807
"72",72,"logistic","no-attribute-selection",550,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|logistic-operator|classifier-performance-evaluator-operator|result-viewer-operator",4,19,0.99604022335988,0.994415051627986,0.994419894049791,0.994432071269488,0.00556792873051225,3808
"73",73,"logistic","no-attribute-selection",600,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|logistic-operator|classifier-performance-evaluator-operator|result-viewer-operator",4,19,0.996063107167573,0.997730286644496,0.997779321719143,0.997772828507795,0.0022271714922049,3810
"74",74,"logistic","no-attribute-selection",650,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|logistic-operator|classifier-performance-evaluator-operator|result-viewer-operator",4,19,0.996065445678368,0.995366567875317,0.995579662345371,0.99554565701559,0.0044543429844098,3810
"75",75,"logistic","no-attribute-selection",700,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|logistic-operator|classifier-performance-evaluator-operator|result-viewer-operator",4,19,0.996049303474674,0.99325228391005,0.993282631840885,0.993318485523385,0.0066815144766147,3812
"76",76,"logistic","no-attribute-selection",750,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|logistic-operator|classifier-performance-evaluator-operator|result-viewer-operator",4,19,0.992971593892503,0.995364513068254,0.995571554358523,0.99554565701559,0.0044543429844098,3812
"77",77,"logistic","no-attribute-selection",800,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|logistic-operator|classifier-performance-evaluator-operator|result-viewer-operator",4,19,0.99494508137986,0.995159590065086,0.995571381332607,0.99554565701559,0.0044543429844098,3810
"78",78,"logistic","no-attribute-selection",850,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|logistic-operator|classifier-performance-evaluator-operator|result-viewer-operator",4,19,0.995267591105249,0.993170537702832,0.993362587929172,0.993318485523385,0.0066815144766147,3808
"79",79,"logistic","no-attribute-selection",900,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|logistic-operator|classifier-performance-evaluator-operator|result-viewer-operator",4,19,0.986613288674483,0.992880870055358,0.993370027249718,0.993318485523385,0.0066815144766147,3810
